,mid,imdb_id,writer_ids,writer_names,writer_gender
149,m230,tt0185014,"['nm0149290', 'nm0460141']","['Michael Chabon', 'Steve Kloves']","M,M"
524,m231,tt0361127,"['nm1350319', 'nm0975026']","['Steven Fechter', 'Nicole Kassell']","M,F,M"
382,m232,tt0096754,['nm0000116'],['James Cameron'],M
455,m233,tt0053619,"['nm0000774', 'nm0059026', 'nm0346096']","['Michelangelo Antonioni', 'Elio Bartolini', 'Tonino Guerra']","M,M,M"
530,m234,tt0088683,['nm0682196'],['John Pielmeier'],M
229,m235,tt0058182,['nm0654079'],['Alun Owen'],M
513,m236,tt0078748,"['nm0639321', 'nm0795953']","[""Dan O'Bannon"", 'Ronald Shusett']","M,M"
57,m238,tt0042192,"['nm0000581', 'nm0650581']","['Joseph L. Mankiewicz', 'Mary Orr']","M,F"
86,m239,tt0074119,"['nm0077012', 'nm0940124', 'nm0001279']","['Carl Bernstein', 'Bob Woodward', 'William Goldman']","M,M,M"
200,m240,tt0163651,['nm0381221'],['Adam Herz'],M
192,m241,tt0118604,"['nm0000484', 'nm0122899', 'nm0827868', 'nm0909026']","['John Landis', 'Tim Burns', 'Tom Stern', 'Anthony Waller']","M,M,M,M"
590,m242,tt0118617,"['nm0310319', 'nm0333949', 'nm0879318', 'nm0925276', 'nm0875740']","['Susan Gauthier', 'Bruce Graham', 'Bob Tzudiker', 'Noni White', 'Eric Tuchman']","F,M,M,F,M"
37,m243,tt0075686,"['nm0000095', 'nm0108613']","['Woody Allen', 'Marshall Brickman']","M,M"
170,m244,tt0254099,"['nm0000492', 'nm0001086']","['Jennifer Jason Leigh', 'Alan Cumming']","F,M"
498,m245,tt0120587,"['nm0017305', 'nm0919363', 'nm0919369']","['Todd Alcott', 'Chris Weitz', 'Paul Weitz']","M,M,M"
81,m246,tt0053604,"['nm0000697', 'nm0224634']","['Billy Wilder', 'I.A.L. Diamond']","M,M"
429,m247,tt0078788,"['nm0587518', 'nm0000338', 'nm0380282', 'nm0175676']","['John Milius', 'Francis Ford Coppola', 'Michael Herr', 'Joseph Conrad']","M,M,M,M"
223,m248,tt0106303,['nm0482780'],['Ross LaManna'],M
52,m249,tt0119822,"['nm0029125', 'nm0000985']","['Mark Andrus', 'James L. Brooks']","M,M"
184,m250,tt0112401,"['nm0905152', 'nm0905154', 'nm0001338']","['Lilly Wachowski', 'Lana Wachowski', 'Brian Helgeland']","F,F,M"
355,m251,tt0348505,"['nm0569862', 'nm0544999', 'nm1877239']","['Patrick McGrath', 'Patrick Marber', 'Chrysanthy Balis']","M,M,M"
515,m252,tt0281358,"['nm0817023', 'nm0418321']","['Nicholas Sparks', 'Karen Janszen']","M,F,M"
572,m253,tt0088763,"['nm0000709', 'nm0301826']","['Robert Zemeckis', 'Bob Gale']","M,M"
567,m254,tt0069762,['nm0000517'],['Terrence Malick'],M
579,m255,tt0086856,['nm0711996'],['Earl Mac Rauch'],M
204,m256,tt0101410,"['nm0001054', 'nm0001053']","['Joel Coen', 'Ethan Coen']","M,M"
154,m257,tt0103772,['nm0000390'],['Joe Eszterhas'],M
199,m258,tt0115632,"['nm0538107', 'nm0100765', 'nm0773603', 'nm1035537']","['Lech Majewski', 'John Bowe', 'Julian Schnabel', 'Michael Holman']","M,M,M,M"
337,m259,tt0103776,"['nm0004170', 'nm0914058', 'nm0358334']","['Bob Kane', 'Daniel Waters', 'Sam Hamm']","M,M,M"
487,m260,tt0041162,"['nm0004170', 'nm0687741', 'nm0688853', 'nm0170763']","['Bob Kane', 'George H. Plympton', 'Joseph F. Poland', 'Royal K. Cole']","M,M,M,M"
142,m261,tt0112462,"['nm0004170', 'nm0060761', 'nm0060760', 'nm0326040']","['Bob Kane', 'Lee Batchler', 'Janet Scott Batchler', 'Akiva Goldsman']","M,M,F,M"
323,m262,tt0096895,"['nm0004170', 'nm0358334', 'nm0803730']","['Bob Kane', 'Sam Hamm', 'Warren Skaaren']","M,M,M"
529,m263,tt0118689,"['nm0000100', 'nm0193485', 'nm0003741']","['Rowan Atkinson', 'Richard Curtis', 'Robin Driscoll']","M,M,M"
374,m264,tt0115641,"['nm0431918', 'nm0830294', 'nm1301264']","['Mike Judge', 'Joe Stillman', 'Brian Mulroney']","M,M,M"
23,m265,tt0094721,"['nm0568313', 'nm0933733', 'nm0803730']","['Michael McDowell', 'Larry Wilson', 'Warren Skaaren']","M,M,M"
100,m266,tt0078841,"['nm0467085', 'nm0002717']","['Jerzy Kosinski', 'Robert C. Jones']","M,M"
332,m267,tt0120601,['nm0442109'],['Charlie Kaufman'],M
399,m268,tt0120603,"['nm0607339', 'nm0124333', 'nm0481418', 'nm0111845']","['Toni Morrison', 'Akosua Busia', 'Richard LaGravenese', 'Adam Brooks']","F,F,M,M"
32,m269,tt0118715,"['nm0001053', 'nm0001054']","['Ethan Coen', 'Joel Coen']","M,M"
532,m271,tt0187738,"['nm0938379', 'nm0170160', 'nm0275286']","['Marv Wolfman', 'Gene Colan', 'David S. Goyer']","M,M,M"
34,m272,tt0120611,['nm0275286'],['David S. Goyer'],M
458,m273,tt0229260,"['nm0617130', 'nm0844896', 'nm0066243', 'nm0075666']","['Daniel Myrick', 'Eduardo Sánchez', 'Dick Beebe', 'Joe Berlinger']","M,M,M,M"
198,m274,tt0086979,"['nm0001054', 'nm0001053']","['Joel Coen', 'Ethan Coen']","M,M"
583,m275,tt0118745,['nm0833298'],['Keith W. Strandberg'],M
256,m276,tt0221027,"['nm0692051', 'nm0571346', 'nm0001024']","['Bruce Porter', 'David McKenna', 'Nick Cassavetes']","M,M,M"
535,m277,tt0058946,"['nm0758357', 'nm0690597']","['Franco Solinas', 'Gillo Pontecorvo']","M,M"
232,m278,tt0106453,['nm0592436'],['Brad Mirman'],M
40,m279,tt0112579,"['nm0481418', 'nm0909077']","['Richard LaGravenese', 'Robert James Waller']","M,M"
99,m280,tt0166110,"['nm0800048', 'nm0582481']","['Adam Simon', 'Tim Metcalfe']","M,M"
353,m281,tt0115736,"['nm0905152', 'nm0905154']","['Lilly Wachowski', 'Lana Wachowski']","F,F"
246,m282,tt0258463,"['nm0006904', 'nm0380819', 'nm0524924']","['Tony Gilroy', 'W. Blake Herron', 'Robert Ludlum']","M,M,M"
376,m283,tt0088846,"['nm0000416', 'nm0001779', 'nm0571650', 'nm0023395']","['Terry Gilliam', 'Tom Stoppard', 'Charles McKeown', 'Charles Alverson']","M,M,M,M"
38,m284,tt0163988,"['nm0175081', 'nm0001707']","['Joe Connelly', 'Paul Schrader']","M,M"
282,m285,tt0092699,['nm0000985'],['James L. Brooks'],M
484,m286,tt0052655,['nm0341458'],['Charles B. Griffith'],M
70,m287,tt0103893,['nm0923736'],['Joss Whedon'],M
210,m288,tt0094812,['nm0005421'],['Ron Shelton'],M
217,m289,tt0112641,"['nm0683380', 'nm0000217']","['Nicholas Pileggi', 'Martin Scorsese']","M,M"
134,m290,tt0327554,"['nm0004170', 'nm0714246', 'nm0104335', 'nm0274905', 'nm0736966']","['Bob Kane', 'Theresa Rebeck', 'John Brancato', 'Michael Ferris', 'John Rogers']","M,F,M,M,M"
488,m291,tt0337921,"['nm0169540', 'nm0604555']","['Larry Cohen', 'Chris Morgan']","M,M"
49,m292,tt0104036,['nm0001403'],['Neil Jordan'],M
121,m293,tt0056923,"['nm0832099', 'nm0066939']","['Peter Stone', 'Marc Behm']","M,M"
161,m294,tt0175526,['nm0783023'],['Ken Selden'],M
531,m295,tt0163579,"['nm0321178', 'nm0002461']","['Drew Gitlin', 'Mike Cheda']","M,M"
409,m296,tt0071315,"['nm0001801', 'nm0000591']","['Robert Towne', 'Roman Polanski']","M,M"
124,m297,tt0095765,"['nm0868153', 'nm0660031', 'nm0258268']","['Giuseppe Tornatore', 'Vanna Paoli', 'Richard Epcar']","M,F,M"
303,m298,tt0033467,"['nm0542534', 'nm0000080', 'nm0002144', 'nm0219670', 'nm0448809']","['Herman J. Mankiewicz', 'Orson Welles', 'John Houseman', 'Roger Q. Denny', 'Mollie Kent']","M,M,M,M,F"
26,m299,tt0109445,['nm0003620'],['Kevin Smith'],M
311,m300,tt0106582,"['nm0519026', 'nm0289833', 'nm0000230']","['John Long', 'Michael France', 'Sylvester Stallone']","M,M,M"
181,m301,tt0066921,"['nm0000040', 'nm0121256']","['Stanley Kubrick', 'Anthony Burgess']","M,M"
482,m302,tt0369339,['nm0064181'],['Stuart Beattie'],M
432,m303,tt0118883,['nm0001338'],['Brian Helgeland'],M
226,m304,tt0118884,"['nm0366337', 'nm0325533', 'nm0755981', 'nm0238668']","['James V. Hart', 'Michael Goldenberg', 'Carl Sagan', 'Ann Druyan']","M,M,M,F"
472,m305,tt0061512,"['nm0668914', 'nm0682757', 'nm0237543']","['Donn Pearce', 'Frank Pierson', 'Hal Dresner']","M,M,M"
283,m306,tt0112722,"['nm0081189', 'nm0535189']","['Ann Biderman', 'David Madsen']","F,M"
477,m307,tt0375679,"['nm0353673', 'nm0604263']","['Paul Haggis', 'Bobby Moresco']","M,M"
11,m308,tt0790706,['nm0460031'],['Dan Klores'],M
97,m309,tt0310924,['nm0592436'],['Brad Mirman'],M
348,m311,tt0109506,"['nm0639335', 'nm0775017', 'nm0794326']","[""James O'Barr"", 'David J. Schow', 'John Shirley']","M,M,M"
343,m312,tt0139134,"['nm0480166', 'nm0474955']","['Choderlos de Laclos', 'Roger Kumble']","M,M"
268,m313,tt0036733,['nm0090840'],['DeWitt Bodeen'],M
208,m314,tt0092809,"['nm0153883', 'nm0522454']","['David Chaskin', 'H.P. Lovecraft']","M,M"
518,m315,tt0118929,"['nm0001639', 'nm0229644', 'nm0275286']","['Alex Proyas', 'Lem Dobbs', 'David S. Goyer']","M,M,M"
264,m316,tt0106673,['nm0002657'],['Gary Ross'],M
442,m317,tt0088993,['nm0001681'],['George A. Romero'],M
481,m318,tt0097165,['nm0776114'],['Tom Schulman'],M
360,m319,tt0118956,['nm0814085'],['Stephen Sommers'],M
168,m320,tt0077416,"['nm0001047', 'nm0913346', 'nm0307311', 'nm0714793']","['Michael Cimino', 'Deric Washburn', 'Louis Garfinkle', 'Quinn K. Redeker']","M,M,M,M"
117,m322,tt0263265,"['nm0070948', 'nm0533831', 'nm0223320', 'nm0174374', 'nm0144007']","['Stephen Vincent Benet', 'Archibald Macleish', 'Peter Dexter', 'Bill Condon', 'Nancy Cassaro']","M,M,M,M,F"
47,m323,tt0095016,"['nm0861636', 'nm0835732', 'nm0211823']","['Roderick Thorp', 'Jeb Stuart', 'Steven E. de Souza']","M,M,M"
28,m324,tt0072890,"['nm0682757', 'nm0460190', 'nm0601944', 'nm0909063']","['Frank Pierson', 'P.F. Kluge', 'Thomas Moore', 'Leslie Waller']","M,M,M,M"
33,m325,tt0421054,"['nm0446819', 'nm0052964']","['Richard Kelly', 'Steve Barancik']","M,M"
315,m326,tt0097216,['nm0000490'],['Spike Lee'],M
522,m327,tt0329028,"['nm0268380', 'nm0947395', 'nm0125803', 'nm1227045', 'nm0003474']","['Peter Farrelly', 'Bennett Yellin', 'Bobby Farrelly', 'Robert Brener', 'Troy Miller']","M,M,M,M,M"
334,m328,tt0087182,"['nm0378541', 'nm0000186']","['Frank Herbert', 'David Lynch']","M,M"
240,m329,tt0109707,"['nm0340674', 'nm0018735', 'nm0438989']","['Rudolph Grey', 'Scott Alexander', 'Larry Karaszewski']","M,M,M"
158,m330,tt0131369,"['nm0309996', 'nm0098943', 'nm0304665', 'nm0541632']","['Émile Gaudreault', 'Sylvie Bouchard', 'Lowell Ganz', 'Babaloo Mandel']","M,F,M,M"
562,m331,tt0126886,"['nm0674909', 'nm0668247', 'nm0852591']","['Tom Perrotta', 'Alexander Payne', 'Jim Taylor']","M,M,M"
203,m332,tt0119488,"['nm0255278', 'nm0001338', 'nm0000436']","['James Ellroy', 'Brian Helgeland', 'Curtis Hanson']","M,M,M"
410,m333,tt0120660,['nm0545861'],['David Marconi'],M
221,m334,tt0116209,"['nm0648546', 'nm0005237']","['Michael Ondaatje', 'Anthony Minghella']","M,M"
548,m335,tt0137494,"['nm0060103', 'nm0381110', 'nm0115310']","['Ronald Bass', 'Michael Hertzberg', 'William Broyles Jr.']","M,M,M"
183,m336,tt0195685,['nm0335666'],['Susannah Grant'],F
140,m337,tt0080684,"['nm0102824', 'nm0001410', 'nm0000184']","['Leigh Brackett', 'Lawrence Kasdan', 'George Lucas']","F,M,M"
571,m339,tt0116225,"['nm0000118', 'nm0145309', 'nm0384185', 'nm0000621']","['John Carpenter', 'Nick Castle', 'Debra Hill', 'Kurt Russell']","M,M,F,M"
176,m340,tt0082348,"['nm0540627', 'nm0657853', 'nm0000958']","['Thomas Malory', 'Rospo Pallenberg', 'John Boorman']","M,M,M"
285,m341,tt0070047,['nm0087861'],['William Peter Blatty'],M
508,m342,tt0097322,['nm0460141'],['Steve Kloves'],M
391,m343,tt0119094,"['nm0108273', 'nm0171718']","['Mike Werb', 'Michael Colleary']","M,M"
318,m344,tt0218967,"['nm0224606', 'nm0919289']","['David Diamond', 'David Weissman']","M,M"
586,m345,tt0109770,"['nm0627537', 'nm1255914', 'nm0456158', 'nm0498278']","['Craig J. Nevius', 'Kevin Rock', 'Jack Kirby', 'Stan Lee']","M,M,M,M"
377,m346,tt0060397,"['nm0459067', 'nm0241949', 'nm0459216', 'nm0003198']","['Harry Kleiner', 'David Duncan', 'Otto Klement', 'Jerome Bixby']","M,M,M,M"
132,m347,tt0116282,"['nm0001053', 'nm0001054']","['Ethan Coen', 'Joel Coen']","M,M"
516,m348,tt0137523,"['nm0657333', 'nm0880243']","['Chuck Palahniuk', 'Jim Uhls']","M,M"
24,m349,tt0309593,"['nm0344259', 'nm0107774', 'nm0714695']","['J. Mackye Gruber', 'Eric Bress', 'Jeffrey Reddick']","M,M,M"
575,m350,tt0195714,"['nm0604688', 'nm0939128', 'nm0714695']","['Glen Morgan', 'James Wong', 'Jeffrey Reddick']","M,M,M"
105,m351,tt0089880,"['nm0606251', 'nm0418883', 'nm0000230', 'nm0000116']","['David Morrell', 'Kevin Jarre', 'Sylvester Stallone', 'James Cameron']","M,M,M,M"
336,m352,tt0101889,['nm0481418'],['Richard LaGravenese'],M
448,m353,tt0065724,"['nm0247628', 'nm0706182']","['Carole Eastman', 'Bob Rafelson']","F,M"
511,m354,tt0240507,['nm0813164'],['Peter Sollett'],M
385,m355,tt0089155,"['nm0567780', 'nm0000921', 'nm0004675']","['Gregory McDonald', 'Andrew Bergman', 'Phil Alden Robinson']","M,M,M"
152,m356,tt0098987,"['nm0914058', 'nm0135470', 'nm0036714', 'nm0918266']","['Daniel Waters', 'James Cappe', 'David Arnott', 'Rex Weiner']","M,M,M,M"
356,m357,tt0067116,"['nm0862781', 'nm0601811']","['Ernest Tidyman', 'Robin Moore']","M,M"
245,m358,tt0186151,['nm0256497'],['Toby Emmerich'],M
480,m359,tt0083972,"['nm0457725', 'nm0914536', 'nm0566699', 'nm0413826', 'nm0192446']","['Martin Kitrosser', 'Carol Watson', 'Victor Miller', 'Ron Kurz', 'Sean S. Cunningham']","M,F,M,M,M"
301,m360,tt0091080,"['nm0572951', 'nm0192446', 'nm0566699']","['Tom McLoughlin', 'Sean S. Cunningham', 'Victor Miller']","M,M,M"
68,m361,tt0107254,"['nm0401095', 'nm0546057', 'nm0520893']","['Jay Huguely', 'Adam Marcus', 'Dean Lorey']","M,M,M"
299,m362,tt0097388,"['nm0373154', 'nm0566699']","['Rob Hedden', 'Victor Miller']","M,M"
110,m363,tt0425055,['nm1680347'],['Don DeLillo'],M
155,m365,tt0119177,['nm0629272'],['Andrew Niccol'],M
428,m366,tt0068638,"['nm0001353', 'nm0860292']","['Walter Hill', 'Jim Thompson']","M,M"
113,m367,tt0208988,"['nm0507794', 'nm0571346']","['Ted Lewis', 'David McKenna']","M,M"
421,m368,tt0104348,['nm0000519'],['David Mamet'],M
308,m369,tt0071562,"['nm0000338', 'nm0701374']","['Francis Ford Coppola', 'Mario Puzo']","M,M"
157,m370,tt0120684,"['nm0104161', 'nm0174374']","['Christopher Bram', 'Bill Condon']","M,M"
247,m371,tt0187078,"['nm0355181', 'nm0003298']","['H.B. Halicki', 'Scott Rosenberg']","M,M"
201,m372,tt0099685,"['nm0683380', 'nm0000217']","['Nicholas Pileggi', 'Martin Scorsese']","M,M"
1,m373,tt0119217,"['nm0000354', 'nm0000255']","['Matt Damon', 'Ben Affleck']","M,M"
558,m374,tt0032551,"['nm0425913', 'nm0825705']","['Nunnally Johnson', 'John Steinbeck']","M,M"
379,m375,tt0119229,"['nm0417716', 'nm0222584', 'nm0684336', 'nm0000131']","['Tom Jankiewicz', 'D.V. DeVincentis', 'Steve Pink', 'John Cusack']","M,M,M,M"
543,m376,tt0119314,"['nm0263097', 'nm0744839', 'nm0481418']","['Nick Evans', 'Eric Roth', 'Richard LaGravenese']","M,M,M"
514,m377,tt0113243,['nm0604360'],['Rafael Moreu'],M
486,m378,tt0095271,"['nm0513772', 'nm0711910', 'nm0749318', 'nm0568416']","['Dhani Lipsius', 'Larry Rattner', 'Benjamin Ruffner', 'Alan B. McElroy']","F,M,M,M"
534,m379,tt0077651,"['nm0000118', 'nm0384185']","['John Carpenter', 'Debra Hill']","M,F,M"
84,m380,tt0091167,['nm0000095'],['Woody Allen'],M
326,m381,tt0212985,"['nm0365383', 'nm0000519', 'nm0001873']","['Thomas Harris', 'David Mamet', 'Steven Zaillian']","M,M,M"
474,m382,tt0210094,['nm0914058'],['Daniel Waters'],M
555,m383,tt0097493,['nm0914058'],['Daniel Waters'],M
279,m384,tt0110005,"['nm0909638', 'nm0001392']","['Fran Walsh', 'Peter Jackson']","F,M"
237,m385,tt0274546,"['nm0000850', 'nm0243463', 'nm0206609']","['Clive Barker', 'Carl V. Dupré', 'Tim Day']","M,M,M"
440,m386,tt0104412,"['nm0957205', 'nm0765091', 'nm0672459']","['Laura Ziskin', 'Alvin Sargent', 'David Webb Peoples']","F,M,M"
316,m387,tt0097503,['nm0229644'],['Lem Dobbs'],M
352,m388,tt0110027,"['nm0927074', 'nm0592436', 'nm0659949', 'nm0645017', 'nm0544528']","['Gregory Widen', 'Brad Mirman', 'William N. Panzer', 'Paul Ohl', 'René Manzor']","M,M,M,M,M"
573,m389,tt0340163,"['nm0186101', 'nm0724514']","['Robert Crais', 'Doug Richardson']","M,M"
160,m390,tt0395169,"['nm0669311', 'nm0313623']","['Keir Pearson', 'Terry George']","M,M"
288,m391,tt0185371,"['nm0925380', 'nm0066243']","['Robb White', 'Dick Beebe']","M,M"
162,m392,tt0116573,"['nm0615814', 'nm0110805']","['Victoria Muspratt', 'Brendan Broderick']","F,M"
257,m393,tt0104409,"['nm0040643', 'nm0709752', 'nm0000850']","['Peter Atkins', 'Tony Randel', 'Clive Barker']","M,M,M"
556,m394,tt0102070,"['nm0000246', 'nm0469234', 'nm0211823', 'nm0914058']","['Bruce Willis', 'Robert Kraft', 'Steven E. de Souza', 'Daniel Waters']","M,M,M,M"
275,m395,tt0110074,"['nm0001053', 'nm0001054', 'nm0000600']","['Ethan Coen', 'Joel Coen', 'Sam Raimi']","M,M,M"
284,m396,tt0036027,"['nm0802561', 'nm0942027', 'nm0908681', 'nm0111576']","['Curt Siodmak', 'Ardel Wray', 'Inez Wallace', 'Charlotte Brontë']","M,F,F,F"
319,m397,tt0119349,"['nm0600528', 'nm0770005']","['Rick Moody', 'James Schamus']","M,M"
545,m398,tt0278504,"['nm0782711', 'nm0296154', 'nm0804408']","['Hillary Seitz', 'Nikolaj Frobenius', 'Erik Skjoldbjærg']","F,M,M"
287,m399,tt0110148,['nm0723351'],['Anne Rice'],F
478,m400,tt0130018,"['nm0242028', 'nm0007029']","['Lois Duncan', 'Trey Callaway']","F,M"
147,m401,tt0037820,"['nm0942027', 'nm0507932', 'nm0592679']","['Ardel Wray', 'Val Lewton', 'Josef Mischel']","F,M,M"
20,m402,tt0038650,"['nm0329304', 'nm0352443', 'nm0001008', 'nm0842485', 'nm0827821', 'nm0933858']","['Frances Goodrich', 'Albert Hackett', 'Frank Capra', 'Jo Swerling', 'Philip Van Doren Stern', 'Michael Wilson']","F,M,M,M,M,M"
300,m403,tt0077766,"['nm0001940', 'nm0331956', 'nm0755274']","['Peter Benchley', 'Carl Gottlieb', 'Howard Sackler']","M,M,M"
397,m404,tt0085750,"['nm0001940', 'nm0558577', 'nm0331956', 'nm0874100', 'nm0437393']","['Peter Benchley', 'Richard Matheson', 'Carl Gottlieb', 'Guerdon Trueblood', 'Michael Kane']","M,M,M,M,M"
235,m405,tt0093300,"['nm0001940', 'nm0208775']","['Peter Benchley', 'Michael De Guzman']","M,M"
533,m407,tt0104549,['nm0732430'],['Bruce Robinson'],M
504,m408,tt0116695,['nm0001081'],['Cameron Crowe'],M
228,m409,tt0163025,"['nm0000341', 'nm0118224', 'nm0668247', 'nm0852591']","['Michael Crichton', 'Peter Buchman', 'Alexander Payne', 'Jim Taylor']","M,M,M,M"
53,m410,tt0119567,"['nm0000341', 'nm0462895']","['Michael Crichton', 'David Koepp']","M,M"
123,m411,tt0107290,"['nm0000341', 'nm0462895']","['Michael Crichton', 'David Koepp']","M,M"
120,m413,tt0102181,['nm0229644'],['Lem Dobbs'],M
578,m414,tt0360717,"['nm0909638', 'nm0101991', 'nm0001392', 'nm0178260', 'nm0908624']","['Fran Walsh', 'Philippa Boyens', 'Peter Jackson', 'Merian C. Cooper', 'Edgar Wallace']","F,F,M,M,M"
3,m415,tt0067309,"['nm0506920', 'nm5557134']","['Andy Lewis', 'David E. Lewis']","M,M"
252,m416,tt0079417,"['nm0180011', 'nm0000914']","['Avery Corman', 'Robert Benton']","M,M"
437,m417,tt0119485,['nm0558953'],['Melissa Mathison'],F
114,m418,tt0139414,['nm0005082'],['David E. Kelley'],M
174,m419,tt0102926,"['nm0365383', 'nm0848217']","['Thomas Harris', 'Ted Tally']","M,M"
525,m420,tt0076300,"['nm0007122', 'nm0178126']","['Stephen Lord', 'James Fenimore Cooper']","M,M"
406,m421,tt0097737,"['nm0672459', 'nm0835732']","['David Webb Peoples', 'Jeb Stuart']","M,M"
400,m422,tt0120735,['nm0005363'],['Guy Ritchie'],M
191,m423,tt0116905,['nm0000626'],['John Sayles'],M
25,m424,tt0113690,['nm0000850'],['Clive Barker'],M
129,m425,tt0335266,['nm0001068'],['Sofia Coppola'],F
365,m426,tt0160484,"['nm0307070', 'nm0821439']","['Pierce Gardner', 'Betsy Stahl']","M,F"
101,m427,tt0199725,['nm0697656'],['Gina Prince-Bythewood'],F
7,m428,tt0175880,['nm0000759'],['Paul Thomas Anderson'],M
96,m429,tt0120744,"['nm0241416', 'nm0908824']","['Alexandre Dumas', 'Randall Wallace']","M,M"
173,m431,tt0091474,"['nm0365383', 'nm0000520']","['Thomas Harris', 'Michael Mann']","M,M"
312,m432,tt0125664,"['nm0018735', 'nm0438989']","['Scott Alexander', 'Larry Karaszewski']","M,M"
80,m433,tt0133093,"['nm0905152', 'nm0905154']","['Lilly Wachowski', 'Lana Wachowski']","F,F"
222,m434,tt0085636,"['nm0908890', 'nm0000118', 'nm0460600']","['Tommy Lee Wallace', 'John Carpenter', 'Nigel Kneale']","M,M,M"
41,m435,tt0119643,"['nm0651592', 'nm0719734', 'nm0905458', 'nm0325743', 'nm0143281', 'nm0274923', 'nm0027173', 'nm0499628']","['Ron Osborn', 'Jeff Reno', 'Kevin Wade', 'Bo Goldman', 'Alberto Casella', 'Walter Ferris', 'Maxwell Anderson', 'Gladys Lehman']","M,M,M,M,M,M,M"
243,m436,tt0209144,"['nm0634240', 'nm0634300']","['Christopher Nolan', 'Jonathan Nolan']","M,M"
542,m437,tt0430357,"['nm0000520', 'nm0947608']","['Michael Mann', 'Anthony Yerkovich']","M,M"
371,m438,tt0064665,"['nm0759029', 'nm0379052']","['Waldo Salt', 'James Leo Herlihy']","M,M"
74,m439,tt0077928,"['nm0000231', 'nm0370907', 'nm0388772']","['Oliver Stone', 'Billy Hayes', 'William Hoffer']","M,M,M"
495,m440,tt0119675,"['nm0938586', 'nm0730422', 'nm0868219']","['Donald A. Wollheim', 'Matthew Robbins', 'Guillermo del Toro']","M,M,M"
281,m441,tt0100157,"['nm0000175', 'nm0001279']","['Stephen King', 'William Goldman']","M,M"
234,m442,tt0120755,"['nm0312367', 'nm0601822', 'nm0103804', 'nm0001801']","['Bruce Geller', 'Ronald D. Moore', 'Brannon Braga', 'Robert Towne']","M,M,M,M"
241,m443,tt0117060,"['nm0312367', 'nm0462895', 'nm0001873', 'nm0001801']","['Bruce Geller', 'David Koepp', 'Steven Zaillian', 'Robert Towne']","M,M,M,M"
227,m444,tt0093565,['nm0788234'],['John Patrick Shanley'],M
106,m445,tt0071853,"['nm0001037', 'nm0000092', 'nm0001385', 'nm0000416', 'nm0001402', 'nm0001589', 'nm0540627']","['Graham Chapman', 'John Cleese', 'Eric Idle', 'Terry Gilliam', 'Terry Jones', 'Michael Palin', 'Thomas Malory']","M,M,M,M,M,M,M"
19,m446,tt0119280,['nm0110591'],['Jeremy Brock'],M
588,m447,tt0106302,"['nm0023929', 'nm0275286']","['Charles Band', 'David S. Goyer']","M,M"
466,m448,tt0166924,['nm0000186'],['David Lynch'],M
182,m450,tt0110613,"['nm0253214', 'nm0468293']","['Laurice Elehwany', 'Janet Kovalcik']","F,F"
270,m451,tt0102492,['nm0253214'],['Laurice Elehwany'],F
58,m452,tt0119738,['nm0060103'],['Ronald Bass'],M
412,m453,tt0073440,['nm0570219'],['Joan Tewkesbury'],F
519,m454,tt0110632,"['nm0000233', 'nm0892705', 'nm0752116', 'nm0000231']","['Quentin Tarantino', 'David Veloz', 'Richard Rutowski', 'Oliver Stone']","M,M,M,M"
122,m455,tt0058414,"['nm0736394', 'nm0950001']","['Michael Roemer', 'Robert M. Young']","M,M"
546,m458,tt0151738,"['nm0463359', 'nm0799050']","['Abby Kohn', 'Marc Silverstein']","F,M"
593,m459,tt0107688,"['nm0000318', 'nm0568313', 'nm0003031']","['Tim Burton', 'Michael McDowell', 'Caroline Thompson']","M,M,F"
576,m460,tt0089686,"['nm0153883', 'nm0000127']","['David Chaskin', 'Wes Craven']","M,M"
225,m461,tt0093629,"['nm0000127', 'nm0905818', 'nm0001104', 'nm0751080']","['Wes Craven', 'Bruce Wagner', 'Frank Darabont', 'Chuck Russell']","M,M,M,M"
402,m462,tt0125439,['nm0193485'],['Richard Curtis'],M
395,m463,tt0073486,"['nm0369142', 'nm0325743', 'nm0450181', 'nm0913670']","['Lawrence Hauben', 'Bo Goldman', 'Ken Kesey', 'Dale Wasserman']","M,M,M,M"
77,m464,tt0110737,['nm0236884'],['Diane Drake'],F
321,m465,tt0047296,"['nm0775977', 'nm0425711', 'nm0802563']","['Budd Schulberg', 'Malcolm Johnson', 'Robert Siodmak']","M,M,M"
5,m466,tt0054240,['nm0000248'],['Edward D. Wood Jr.'],M
48,m467,tt0120780,"['nm0001465', 'nm0291082']","['Elmore Leonard', 'Scott Frank']","M,M"
577,m468,tt0213149,['nm0908824'],['Randall Wallace'],M
286,m469,tt0091738,"['nm0500090', 'nm0765403']","['Jerry Leichtling', 'Arlene Sarner']","M,F"
470,m470,tt0105128,['nm0653693'],['Richard Outten'],M
63,m471,tt0107818,['nm0638913'],['Ron Nyswaner'],M
423,m472,tt0134847,"['nm0923646', 'nm0003117', 'nm0878638']","['Jim Wheat', 'Ken Wheat', 'David Twohy']","M,M,M"
361,m473,tt0063442,"['nm0933858', 'nm0785245', 'nm0099541', 'nm0445934']","['Michael Wilson', 'Rod Serling', 'Pierre Boulle', 'John T. Kelley']","M,M,M,M"
485,m474,tt0091763,['nm0000231'],['Oliver Stone'],M
539,m475,tt0114142,"['nm0239490', 'nm0766020']","['David DuBos', 'Oley Sassone']","M,M"
